Title,Description,Priority,Status,Labels,Estimate,Project,Project Milestone
WEB-1 Admin login (local),"Login admin + session segura + logout",High,Backlog,"area:frontend,area:gateway,area:security,type:feature",3,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-2 Roles / RBAC (Admin/Operator/Viewer),"Gate em endpoints e na UI.",High,Backlog,"area:frontend,area:gateway,area:security,type:feature",3,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-3 Audit Log (who/what/when),"Logar mudanças de config e secrets (sem revelar segredo).",High,Backlog,"area:db,area:gateway,area:security,type:feature",3,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-4 Permissions matrix,"Definir o que cada role pode fazer.",Normal,Backlog,"area:frontend,area:gateway,area:security,type:feature",2,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-5 Security headers,"CSP, X-Frame-Options, etc.",High,Backlog,"area:gateway,area:security,type:feature",2,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-6 Danger zone com reauth,"Ações destrutivas exigem senha/confirm.",Normal,Backlog,"area:frontend,area:security,type:feature",3,"GarraIA Admin Web Console","Phase 1 — Foundation"
WEB-7 Tabela/Storage de Secrets,"Armazenar por provider e por tenant (mesmo que tenant=default).",High,Backlog,"area:db,area:security,type:feature",5,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-8 Encryption-at-rest,"Envelope encryption / chave mestre local.",High,Backlog,"area:db,area:security,type:feature",5,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-9 UI Secrets CRUD,"Add / Update / Remove (com mask).",High,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-10 Nunca retornar segredo salvo,"API responde apenas is_set=true/false.",High,Backlog,"area:gateway,area:security,type:feature",2,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-11 Rotação e versionamento,"rotate key + histórico de versões (sem plaintext).",Normal,Backlog,"area:db,area:gateway,area:frontend,type:feature",5,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-12 Test secret / connection,"Botão Test Provider Auth por provider.",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-13 Migração do config.yml/env para Secrets store,"Importar chaves atuais para o store.",High,Backlog,"area:gateway,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 2 — Secrets Manager"
WEB-14 Providers list + enable/disable,"UI para ativar/desativar providers",High,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 3 — Providers Console"
WEB-15 Provider settings editor,"timeout, retries, max tokens, temperature default, etc.",Normal,Backlog,"area:frontend,area:gateway,type:feature",5,"GarraIA Admin Web Console","Phase 3 — Providers Console"
